,market_rel_strength,wave1_trend,wave2_trend,edgar_ai_intensity,wave1_profitability,wave1,wave2,FDI
2019-12-31,1.3888317329617794,29.333333333333332,0.0,1.0,0.9660036389741502,0.11379867937123637,-1.512672060509266,-0.6994366905690148
2020-01-31,1.6666773204404903,29.0,0.0,1.1666666666666667,0.9660036389741502,0.20472687277176568,-1.4569797762329404,-0.6261264517305873
2020-02-29,1.8837937280019164,28.0,0.0,1.3333333333333333,0.9660036389741502,0.18071939043004656,-1.4012874919566147,-0.6102840507632841
2020-03-31,1.947770178621915,30.333333333333332,0.0,1.5,0.9660036389741502,0.5114585220104774,-1.345595207680289,-0.41706834283490585
2020-04-30,2.336842313946167,34.0,0.0,1.6666666666666665,0.9660036389741502,1.1701156402666768,-1.2899029234039634,-0.0598936415686433
2020-05-31,2.9445291983406094,31.666666666666668,0.0,1.8333333333333333,0.9660036389741502,1.1627667811800386,-1.2342106391276377,-0.035721928973799555
2020-06-30,3.585731862552956,31.0,0.0,2.0,0.9660036389741502,1.3857949610058056,-1.1785183548513118,0.10363830307724686
2020-07-31,4.331208586163582,31.333333333333332,0.0,2.1666666666666665,0.9660036389741502,1.7875726572680537,-1.1228260705749864,0.33237329334653365
2020-08-31,4.753599643243498,31.0,0.0,2.333333333333333,0.9660036389741502,1.9480961320621581,-1.0671337862986607,0.4404811728817487
2020-09-30,5.187557734899896,32.0,0.0,2.5,0.9660036389741502,2.2855808413709924,-1.011441502022335,0.6370696696743287
2020-10-31,4.609563777110422,29.666666666666668,0.0,2.6666666666666665,0.9660036389741502,1.7073542364620635,-0.9557492177460094,0.37580250935802706
2020-11-30,4.6649900231722965,28.666666666666668,0.0,2.833333333333333,0.9660036389741502,1.6054967023741356,-0.9000569334696836,0.35271988445222596
2020-12-31,4.646396795325302,30.333333333333332,0.0,3.0,0.9660036389741502,1.810784466184498,-0.844364649193358,0.48320990849557005
2021-01-31,4.723575948866635,29.0,0.0,3.0833333333333335,0.9660036389741502,1.6765524569558083,-0.8165185070551951,0.4300169749503066
2021-02-28,3.9235160510946256,29.666666666666668,0.0,3.1666666666666665,0.9660036389741502,1.3770382142911863,-0.7886723649170323,0.294182924687077
2021-03-31,3.4991820502787667,31.0,0.0,3.25,0.9660036389741502,1.3441232395993739,-0.7608262227788695,0.2916485084102522
2021-04-30,3.6455048861350874,28.666666666666668,0.0,3.3333333333333335,0.9660036389741502,1.1146383227623526,-0.7329800806407066,0.190829121060823
2021-05-31,3.503622076969952,29.0,0.0,3.4166666666666665,0.9660036389741502,1.0891730445392538,-0.7051339385025438,0.192019553018355
2021-06-30,4.0359967839285575,29.0,0.0,3.5,0.9660036389741502,1.3454990825660946,-0.677287796364381,0.33410564310085683
