Date,close,ticker,name,indexed
2018-01-02,36.05384826660156,ARKK,ARK Innovation ETF (disruptive growth),100.0
2018-01-03,36.203372955322266,ARKK,ARK Innovation ETF (disruptive growth),100.41472601652683
2018-01-04,36.324851989746094,ARKK,ARK Innovation ETF (disruptive growth),100.75166379228254
2018-01-05,36.913604736328125,ARKK,ARK Innovation ETF (disruptive growth),102.38464549850285
2018-01-08,36.66128158569336,ARKK,ARK Innovation ETF (disruptive growth),101.68479468432913
2018-01-09,36.73604202270508,ARKK,ARK Innovation ETF (disruptive growth),101.89215240231502
2018-01-10,36.82949447631836,ARKK,ARK Innovation ETF (disruptive growth),102.15135484007492
2018-01-11,36.92294692993164,ARKK,ARK Innovation ETF (disruptive growth),102.4105572778348
2018-01-12,37.1098518371582,ARKK,ARK Innovation ETF (disruptive growth),102.92896215335456
2018-01-16,36.27812576293945,ARKK,ARK Innovation ETF (disruptive growth),100.6220625734026
2018-01-17,37.1285400390625,ARKK,ARK Innovation ETF (disruptive growth),102.98079629257352
2018-01-18,37.259376525878906,ARKK,ARK Innovation ETF (disruptive growth),103.34368816988139
2018-01-19,37.324790954589844,ARKK,ARK Innovation ETF (disruptive growth),103.52512352798028
2018-01-22,38.36211013793945,ARKK,ARK Innovation ETF (disruptive growth),106.40226212267096
2018-01-23,38.84806442260742,ARKK,ARK Innovation ETF (disruptive growth),107.75011903124438
2018-01-24,38.61442947387695,ARKK,ARK Innovation ETF (disruptive growth),107.1021023562896
2018-01-25,38.586395263671875,ARKK,ARK Innovation ETF (disruptive growth),107.02434585718366
2018-01-26,39.296634674072266,ARKK,ARK Innovation ETF (disruptive growth),108.99428650026981
2018-01-29,39.55830001831055,ARKK,ARK Innovation ETF (disruptive growth),109.72004909377546
2018-01-30,38.876094818115234,ARKK,ARK Innovation ETF (disruptive growth),107.82786494979527
2018-01-31,38.5396728515625,ARKK,ARK Innovation ETF (disruptive growth),106.89475521885878
2018-02-01,38.08175277709961,ARKK,ARK Innovation ETF (disruptive growth),105.6246548093913
2018-02-02,37.1939582824707,ARKK,ARK Innovation ETF (disruptive growth),103.16224223122745
2018-02-05,35.87628173828125,ARKK,ARK Innovation ETF (disruptive growth),99.50749632325712
2018-02-06,36.71735382080078,ARKK,ARK Innovation ETF (disruptive growth),101.84031826309608
2018-02-07,37.23134231567383,ARKK,ARK Innovation ETF (disruptive growth),103.26593167077544
2018-02-08,35.60527038574219,ARKK,ARK Innovation ETF (disruptive growth),98.75581136986446
2018-02-09,35.85759353637695,ARKK,ARK Innovation ETF (disruptive growth),99.45566218403818
2018-02-12,36.27812576293945,ARKK,ARK Innovation ETF (disruptive growth),100.6220625734026
2018-02-13,36.700531005859375,ARKK,ARK Innovation ETF (disruptive growth),101.79365801529948
2018-02-14,37.64252853393555,ARKK,ARK Innovation ETF (disruptive growth),104.40640970025288
