Date,close,ticker,name,category,indexed
2018-01-02,8.281025886535645,BCS,Barclays (ADR),traditional_bank,100.0
2018-01-03,8.250994682312012,BCS,Barclays (ADR),traditional_bank,99.63734922900723
2018-01-04,8.296040534973145,BCS,Barclays (ADR),traditional_bank,100.1813138691175
2018-01-05,8.085824012756348,BCS,Barclays (ADR),traditional_bank,97.64278150492585
2018-01-08,8.138378143310547,BCS,Barclays (ADR),traditional_bank,98.27741459597375
2018-01-09,8.190933227539062,BCS,Barclays (ADR),traditional_bank,98.91205920340056
2018-01-10,8.153393745422363,BCS,Barclays (ADR),traditional_bank,98.45873998147015
2018-01-11,8.018254280090332,BCS,Barclays (ADR),traditional_bank,96.82682302838154
2018-01-12,8.070809364318848,BCS,Barclays (ADR),traditional_bank,97.46146763580833
2018-01-16,8.228471755981445,BCS,Barclays (ADR),traditional_bank,99.36536690895208
2018-01-17,8.296040534973145,BCS,Barclays (ADR),traditional_bank,100.1813138691175
2018-01-18,8.311054229736328,BCS,Barclays (ADR),traditional_bank,100.36261622185613
2018-01-19,8.36361026763916,BCS,Barclays (ADR),traditional_bank,100.99727234566181
2018-01-22,8.814074516296387,BCS,Barclays (ADR),traditional_bank,106.4369878450379
2018-01-23,8.814074516296387,BCS,Barclays (ADR),traditional_bank,106.4369878450379
2018-01-24,8.904166221618652,BCS,Barclays (ADR),traditional_bank,107.52491712525847
2018-01-25,8.904166221618652,BCS,Barclays (ADR),traditional_bank,107.52491712525847
2018-01-26,8.941706657409668,BCS,Barclays (ADR),traditional_bank,107.97824786356776
2018-01-29,8.776535034179688,BCS,Barclays (ADR),traditional_bank,105.9836686231075
2018-01-30,8.551304817199707,BCS,Barclays (ADR),traditional_bank,103.26383390617721
2018-01-31,8.536286354064941,BCS,Barclays (ADR),traditional_bank,103.08247397154418
2018-02-01,8.528779983520508,BCS,Barclays (ADR),traditional_bank,102.99182855336431
2018-02-02,8.235978126525879,BCS,Barclays (ADR),traditional_bank,99.45601232713196
2018-02-05,7.898130416870117,BCS,Barclays (ADR),traditional_bank,95.37623146078933
2018-02-06,8.033269882202148,BCS,Barclays (ADR),traditional_bank,97.00814841387793
2018-02-07,7.973206996917725,BCS,Barclays (ADR),traditional_bank,96.28284111370293
2018-02-08,8.025762557983398,BCS,Barclays (ADR),traditional_bank,96.91749147931918
2018-02-09,8.070809364318848,BCS,Barclays (ADR),traditional_bank,97.46146763580833
2018-02-12,8.108345985412598,BCS,Barclays (ADR),traditional_bank,97.9147523086021
2018-02-13,8.14588451385498,BCS,Barclays (ADR),traditional_bank,98.36806001415363
2018-02-14,8.356101989746094,BCS,Barclays (ADR),traditional_bank,100.90660389472417
2018-02-15,8.461212158203125,BCS,Barclays (ADR),traditional_bank,102.17589310957777
2018-02-16,8.506258010864258,BCS,Barclays (ADR),traditional_bank,102.71985774968805
2018-02-20,8.468719482421875,BCS,Barclays (ADR),traditional_bank,102.26655004413652
2018-02-21,8.506258010864258,BCS,Barclays (ADR),traditional_bank,102.71985774968805
2018-02-22,8.769027709960938,BCS,Barclays (ADR),traditional_bank,105.89301168854874
2018-02-23,8.79905891418457,BCS,Barclays (ADR),traditional_bank,106.25566245954153
2018-02-26,8.79905891418457,BCS,Barclays (ADR),traditional_bank,106.25566245954153
2018-02-27,8.79905891418457,BCS,Barclays (ADR),traditional_bank,106.25566245954153
2018-02-28,8.821579933166504,BCS,Barclays (ADR),traditional_bank,106.5276217468389
2018-03-01,8.769283294677734,BCS,Barclays (ADR),traditional_bank,105.89609807808911
2018-03-02,8.731388092041016,BCS,Barclays (ADR),traditional_bank,105.43848324683573
2018-03-05,8.807182312011719,BCS,Barclays (ADR),traditional_bank,106.35375897485802
2018-03-06,8.98908519744873,BCS,Barclays (ADR),traditional_bank,108.55038156642331
2018-03-07,8.951189041137695,BCS,Barclays (ADR),traditional_bank,108.09275521879104
2018-03-08,8.98150634765625,BCS,Barclays (ADR),traditional_bank,108.45886090344841
2018-03-09,8.920872688293457,BCS,Barclays (ADR),traditional_bank,107.72666105051256
2018-03-12,8.996664047241211,BCS,Barclays (ADR),traditional_bank,108.64190222939821
2018-03-13,8.913291931152344,BCS,Barclays (ADR),traditional_bank,107.63511735477991
2018-03-14,8.829917907714844,BCS,Barclays (ADR),traditional_bank,106.62830944740384
2018-03-15,8.837499618530273,BCS,Barclays (ADR),traditional_bank,106.71986465951538
2018-03-16,8.913291931152344,BCS,Barclays (ADR),traditional_bank,107.63511735477991
2018-03-19,9.345314025878906,BCS,Barclays (ADR),traditional_bank,112.85212911933675
2018-03-20,9.246782302856445,BCS,Barclays (ADR),traditional_bank,111.66227988601088
2018-03-21,9.148250579833984,BCS,Barclays (ADR),traditional_bank,110.47243065268502
2018-03-22,8.89055347442627,BCS,Barclays (ADR),traditional_bank,107.36053233309744
2018-03-23,8.784444808959961,BCS,Barclays (ADR),traditional_bank,106.07918546955443
2018-03-26,9.072457313537598,BCS,Barclays (ADR),traditional_bank,109.55716644104162
2018-03-27,8.867815017700195,BCS,Barclays (ADR),traditional_bank,107.08594731141498
2018-03-28,8.913291931152344,BCS,Barclays (ADR),traditional_bank,107.63511735477991
2018-03-29,8.95876693725586,BCS,Barclays (ADR),traditional_bank,108.18426436538707
2018-04-02,8.852656364440918,BCS,Barclays (ADR),traditional_bank,106.90289446908629
2018-04-03,8.98150634765625,BCS,Barclays (ADR),traditional_bank,108.45886090344841
2018-04-04,9.04214096069336,BCS,Barclays (ADR),traditional_bank,109.19107227276314
2018-04-05,9.117934226989746,BCS,Barclays (ADR),traditional_bank,110.10633648440654
2018-04-06,9.019404411315918,BCS,Barclays (ADR),traditional_bank,108.91651028383843
2018-04-09,9.102776527404785,BCS,Barclays (ADR),traditional_bank,109.92329515845674
2018-04-10,9.314995765686035,BCS,Barclays (ADR),traditional_bank,112.4860119183005
2018-04-11,9.292258262634277,BCS,Barclays (ADR),traditional_bank,112.21143841299693
2018-04-12,9.436264038085938,BCS,Barclays (ADR),traditional_bank,113.95042314055107
2018-04-13,9.254362106323242,BCS,Barclays (ADR),traditional_bank,111.75381206536467
2018-04-16,9.345314025878906,BCS,Barclays (ADR),traditional_bank,112.85212911933675
2018-04-17,9.239204406738281,BCS,Barclays (ADR),traditional_bank,111.57077073941487
2018-04-18,9.261942863464355,BCS,Barclays (ADR),traditional_bank,111.84535576109732
2018-04-19,9.299838066101074,BCS,Barclays (ADR),traditional_bank,112.3029705923507
2018-04-20,9.261942863464355,BCS,Barclays (ADR),traditional_bank,111.84535576109732
2018-04-23,9.254362106323242,BCS,Barclays (ADR),traditional_bank,111.75381206536467
2018-04-24,9.170988082885742,BCS,Barclays (ADR),traditional_bank,110.7470041579886
2018-04-25,9.095194816589355,BCS,Barclays (ADR),traditional_bank,109.8317399463452
2018-04-26,8.98150634765625,BCS,Barclays (ADR),traditional_bank,108.45886090344841
2018-04-27,8.867815017700195,BCS,Barclays (ADR),traditional_bank,107.08594731141498
2018-04-30,8.746545791625977,BCS,Barclays (ADR),traditional_bank,105.62152457278553
2018-05-01,8.648015975952148,BCS,Barclays (ADR),traditional_bank,104.43169837221743
2018-05-02,8.602540016174316,BCS,Barclays (ADR),traditional_bank,103.88253984523138
2018-05-03,8.519165992736816,BCS,Barclays (ADR),traditional_bank,102.87573193785532
2018-05-04,8.61011791229248,BCS,Barclays (ADR),traditional_bank,103.9740489918274
2018-05-07,8.66317367553711,BCS,Barclays (ADR),traditional_bank,104.61473969816723
2018-05-08,8.625276565551758,BCS,Barclays (ADR),traditional_bank,104.15710183415608
2018-05-09,8.852656364440918,BCS,Barclays (ADR),traditional_bank,106.90289446908629
2018-05-10,8.913291931152344,BCS,Barclays (ADR),traditional_bank,107.63511735477991
2018-05-11,8.920872688293457,BCS,Barclays (ADR),traditional_bank,107.72666105051256
2018-05-14,8.860236167907715,BCS,Barclays (ADR),traditional_bank,106.99442664844008
2018-05-15,8.769283294677734,BCS,Barclays (ADR),traditional_bank,105.89609807808911
2018-05-16,8.693490982055664,BCS,Barclays (ADR),traditional_bank,104.98084538282458
2018-05-17,8.685911178588867,BCS,Barclays (ADR),traditional_bank,104.8893132034708
2018-05-18,8.632857322692871,BCS,Barclays (ADR),traditional_bank,104.24864552988875
2018-05-21,8.648015975952148,BCS,Barclays (ADR),traditional_bank,104.43169837221743
2018-05-22,8.708649635314941,BCS,Barclays (ADR),traditional_bank,105.16389822515328
2018-05-23,8.587381362915039,BCS,Barclays (ADR),traditional_bank,103.6994870029027
2018-05-24,8.4736909866333,BCS,Barclays (ADR),traditional_bank,102.32658492724815
2018-05-25,8.458532333374023,BCS,Barclays (ADR),traditional_bank,102.14353208491947
2018-05-29,8.01893138885498,BCS,Barclays (ADR),traditional_bank,96.83499965738773
2018-05-30,8.140198707580566,BCS,Barclays (ADR),traditional_bank,98.29939936325941
2018-05-31,8.09472370147705,BCS,Barclays (ADR),traditional_bank,97.75025235265225
2018-06-01,8.253890037536621,BCS,Barclays (ADR),traditional_bank,99.67231295529284
2018-06-04,8.360001564025879,BCS,Barclays (ADR),traditional_bank,100.95369436797249
2018-06-05,8.14777946472168,BCS,Barclays (ADR),traditional_bank,98.39094305899208
2018-06-06,8.337263107299805,BCS,Barclays (ADR),traditional_bank,100.67910934629003
2018-06-07,8.284207344055176,BCS,Barclays (ADR),traditional_bank,100.03841863995021
2018-06-08,8.238731384277344,BCS,Barclays (ADR),traditional_bank,99.48926011296416
2018-06-11,8.291787147521973,BCS,Barclays (ADR),traditional_bank,100.12995081930399
2018-06-12,8.185675621032715,BCS,Barclays (ADR),traditional_bank,98.84856940662434
2018-06-13,8.17809772491455,BCS,Barclays (ADR),traditional_bank,98.75706026002833
2018-06-14,8.185675621032715,BCS,Barclays (ADR),traditional_bank,98.84856940662434
2018-06-15,8.01893138885498,BCS,Barclays (ADR),traditional_bank,96.83499965738773
2018-06-18,8.003771781921387,BCS,Barclays (ADR),traditional_bank,96.65193529868017
2018-06-19,7.867344379425049,BCS,Barclays (ADR),traditional_bank,95.00446547591147
2018-06-20,7.8521857261657715,BCS,Barclays (ADR),traditional_bank,94.8214126335828
2018-06-21,7.761233329772949,BCS,Barclays (ADR),traditional_bank,93.72308982142127
2018-06-22,7.859766006469727,BCS,Barclays (ADR),traditional_bank,94.91295057112602
2018-06-25,7.761233329772949,BCS,Barclays (ADR),traditional_bank,93.72308982142127
2018-06-26,7.746074676513672,BCS,Barclays (ADR),traditional_bank,93.54003697909259
2018-06-27,7.541433334350586,BCS,Barclays (ADR),traditional_bank,91.06882936584483
2018-06-28,7.655123710632324,BCS,Barclays (ADR),traditional_bank,92.44173144149939
2018-06-29,7.602066993713379,BCS,Barclays (ADR),traditional_bank,91.80102921878068
2018-07-02,7.541433334350586,BCS,Barclays (ADR),traditional_bank,91.06882936584483
2018-07-03,7.503537654876709,BCS,Barclays (ADR),traditional_bank,90.61120877640202
2018-07-05,7.609646320343018,BCS,Barclays (ADR),traditional_bank,91.89255563994502
2018-07-06,7.617228031158447,BCS,Barclays (ADR),traditional_bank,91.98411085205656
2018-07-09,7.708179473876953,BCS,Barclays (ADR),traditional_bank,93.08242214783921
2018-07-10,7.632384300231934,BCS,Barclays (ADR),traditional_bank,92.16713490343804
2018-07-11,7.609646320343018,BCS,Barclays (ADR),traditional_bank,91.89255563994502
2018-07-12,7.708179473876953,BCS,Barclays (ADR),traditional_bank,93.08242214783921
2018-07-13,7.693018913269043,BCS,Barclays (ADR),traditional_bank,92.89934627275277
2018-07-16,7.837026119232178,BCS,Barclays (ADR),traditional_bank,94.63834827487524
2018-07-17,7.639965534210205,BCS,Barclays (ADR),traditional_bank,92.25868435736015
2018-07-18,7.609646320343018,BCS,Barclays (ADR),traditional_bank,91.89255563994502
2018-07-19,7.4580607414245605,BCS,Barclays (ADR),traditional_bank,90.0620387330371
2018-07-20,7.549012184143066,BCS,Barclays (ADR),traditional_bank,91.16035002881974
2018-07-23,7.579331398010254,BCS,Barclays (ADR),traditional_bank,91.52647874623486
2018-07-24,7.685440540313721,BCS,Barclays (ADR),traditional_bank,92.80783136796731
2018-07-25,7.685440540313721,BCS,Barclays (ADR),traditional_bank,92.80783136796731
2018-07-26,7.624807357788086,BCS,Barclays (ADR),traditional_bank,92.0756372732209
2018-07-27,7.708179473876953,BCS,Barclays (ADR),traditional_bank,93.08242214783921
2018-07-30,7.8067097663879395,BCS,Barclays (ADR),traditional_bank,94.27225410659675
2018-07-31,7.837026119232178,BCS,Barclays (ADR),traditional_bank,94.63834827487524
2018-08-01,7.761233329772949,BCS,Barclays (ADR),traditional_bank,93.72308982142127
2018-08-02,7.564171314239502,BCS,Barclays (ADR),traditional_bank,91.34340862933786
2018-08-03,7.617228031158447,BCS,Barclays (ADR),traditional_bank,91.98411085205656
2018-08-06,7.533853054046631,BCS,Barclays (ADR),traditional_bank,90.97729142830161
2018-08-07,7.541433334350586,BCS,Barclays (ADR),traditional_bank,91.06882936584483
2018-08-08,7.647543430328369,BCS,Barclays (ADR),traditional_bank,92.35019350395616
2018-08-09,7.655991554260254,BCS,Barclays (ADR),traditional_bank,92.45221134628197
2018-08-10,7.456335544586182,BCS,Barclays (ADR),traditional_bank,90.04120560363964
2018-08-13,7.333470821380615,BCS,Barclays (ADR),traditional_bank,88.55751596314067
2018-08-14,7.356509208679199,BCS,Barclays (ADR),traditional_bank,88.83572288598151
2018-08-15,7.17221212387085,BCS,Barclays (ADR),traditional_bank,86.61018842523308
2018-08-16,7.249001502990723,BCS,Barclays (ADR),traditional_bank,87.53748149461869
2018-08-17,7.325791358947754,BCS,Barclays (ADR),traditional_bank,88.46478032219373
2018-08-20,7.356509208679199,BCS,Barclays (ADR),traditional_bank,88.83572288598151
2018-08-21,7.433299541473389,BCS,Barclays (ADR),traditional_bank,89.763027471746
2018-08-22,7.47169303894043,BCS,Barclays (ADR),traditional_bank,90.2266596109652
2018-08-23,7.341150283813477,BCS,Barclays (ADR),traditional_bank,88.65025160408763
2018-08-24,7.356509208679199,BCS,Barclays (ADR),traditional_bank,88.83572288598151
2018-08-27,7.487051486968994,BCS,Barclays (ADR),traditional_bank,90.41212513466965
2018-08-28,7.387223720550537,BCS,Barclays (ADR),traditional_bank,89.20662514244322
2018-08-29,7.394903659820557,BCS,Barclays (ADR),traditional_bank,89.2993665415796
2018-08-30,7.256681442260742,BCS,Barclays (ADR),traditional_bank,87.63022289375508
2018-08-31,7.187570095062256,BCS,Barclays (ADR),traditional_bank,86.79564819074808
2018-09-04,7.287397861480713,BCS,Barclays (ADR),traditional_bank,88.00114818297453
2018-09-05,7.218286037445068,BCS,Barclays (ADR),traditional_bank,87.16656772177811
2018-09-06,7.149176120758057,BCS,Barclays (ADR),traditional_bank,86.33201029333945
2018-09-07,7.072386264801025,BCS,Barclays (ADR),traditional_bank,85.4047114657644
2018-09-10,7.195250034332275,BCS,Barclays (ADR),traditional_bank,86.88838958988447
2018-09-11,7.118459224700928,BCS,Barclays (ADR),traditional_bank,85.96107924593055
2018-09-12,7.04166841506958,BCS,Barclays (ADR),traditional_bank,85.03376890197661
2018-09-13,7.018630504608154,BCS,Barclays (ADR),traditional_bank,84.75556773732522
2018-09-14,6.980236053466797,BCS,Barclays (ADR),traditional_bank,84.29192408172713
2018-09-17,7.033990859985352,BCS,Barclays (ADR),traditional_bank,84.94105629378743
2018-09-18,6.987915515899658,BCS,Barclays (ADR),traditional_bank,84.38465972267409
2018-09-19,7.16453218460083,BCS,Barclays (ADR),traditional_bank,86.51744702609669
2018-09-20,7.295077323913574,BCS,Barclays (ADR),traditional_bank,88.09388382392147
2018-09-21,7.233644008636475,BCS,Barclays (ADR),traditional_bank,87.35202748729311
2018-09-24,7.1798906326293945,BCS,Barclays (ADR),traditional_bank,86.70291254980114
2018-09-25,7.187570095062256,BCS,Barclays (ADR),traditional_bank,86.79564819074808
2018-09-26,7.118459224700928,BCS,Barclays (ADR),traditional_bank,85.96107924593055
2018-09-27,7.1261372566223145,BCS,Barclays (ADR),traditional_bank,86.05379761230917
2018-09-28,6.872730255126953,BCS,Barclays (ADR),traditional_bank,82.99370572312206
2018-10-01,6.926483631134033,BCS,Barclays (ADR),traditional_bank,83.64282066061403
2018-10-02,6.8112969398498535,BCS,Barclays (ADR),traditional_bank,82.2518493864937
2018-10-03,6.918804168701172,BCS,Barclays (ADR),traditional_bank,83.5500850196671
2018-10-04,6.964877605438232,BCS,Barclays (ADR),traditional_bank,84.10645855802268
2018-10-05,6.926483631134033,BCS,Barclays (ADR),traditional_bank,83.64282066061403
2018-10-08,6.842012882232666,BCS,Barclays (ADR),traditional_bank,82.62276891752373
2018-10-09,6.780580520629883,BCS,Barclays (ADR),traditional_bank,81.88092409727425
2018-10-10,6.849693298339844,BCS,Barclays (ADR),traditional_bank,82.71551607484955
2018-10-11,6.711469650268555,BCS,Barclays (ADR),traditional_bank,81.0463551524567
2018-10-12,6.673074245452881,BCS,Barclays (ADR),traditional_bank,80.58269998047973
2018-10-15,6.642358779907227,BCS,Barclays (ADR),traditional_bank,80.21178620763916
2018-10-16,6.642358779907227,BCS,Barclays (ADR),traditional_bank,80.21178620763916
2018-10-17,6.703790187835693,BCS,Barclays (ADR),traditional_bank,80.95361951150976
2018-10-18,6.52717399597168,BCS,Barclays (ADR),traditional_bank,78.82083796627659
2018-10-19,6.550210475921631,BCS,Barclays (ADR),traditional_bank,79.09902185635966
2018-10-22,6.519495010375977,BCS,Barclays (ADR),traditional_bank,78.72810808351909
2018-10-23,6.619320869445801,BCS,Barclays (ADR),traditional_bank,79.93358504298776
2018-10-24,6.665396213531494,BCS,Barclays (ADR),traditional_bank,80.48998161410111
2018-10-25,6.7345075607299805,BCS,Barclays (ADR),traditional_bank,81.3245563171081
2018-10-26,6.580926895141602,BCS,Barclays (ADR),traditional_bank,79.46994714557913
2018-10-29,6.726829528808594,BCS,Barclays (ADR),traditional_bank,81.23183795072947
2018-10-30,6.665396213531494,BCS,Barclays (ADR),traditional_bank,80.48998161410111
2018-10-31,6.749865531921387,BCS,Barclays (ADR),traditional_bank,81.51001608262311
2018-11-01,7.010951995849609,BCS,Barclays (ADR),traditional_bank,84.66284361275716
2018-11-02,7.018630504608154,BCS,Barclays (ADR),traditional_bank,84.75556773732522
2018-11-05,6.995594024658203,BCS,Barclays (ADR),traditional_bank,84.47738384724214
2018-11-06,6.972557067871094,BCS,Barclays (ADR),traditional_bank,84.19919419896964
2018-11-07,7.118459224700928,BCS,Barclays (ADR),traditional_bank,85.96107924593055
2018-11-08,7.133815765380859,BCS,Barclays (ADR),traditional_bank,86.14652173687723
2018-11-09,7.026309490203857,BCS,Barclays (ADR),traditional_bank,84.84829762008272
2018-11-12,6.703790187835693,BCS,Barclays (ADR),traditional_bank,80.95361951150976
2018-11-13,7.026309490203857,BCS,Barclays (ADR),traditional_bank,84.84829762008272
